,power_base,power_down,power_up,time_base,time_down,time_up
3090,7156.304859211372,7156.288704995733,7170.872397915016,17907004.8,17907004.8,17907004.8
3091,7144.815185722078,7144.800355038462,7404.037384050733,17907012.0,17907012.0,17907012.0
3092,7133.629511924403,7133.616162270692,7797.837764411437,17907019.2,17907019.2,17907019.2
3093,7122.8833487915135,7122.871594912873,7873.406924096984,17907026.4,17907026.4,17907026.4
3094,7112.703069104841,7112.692997909953,7952.727045342897,17907033.599999998,17907033.599999998,17907033.599999998
3095,7103.214817360043,7103.206479003026,8038.9055164112715,17907040.8,17907040.8,17907040.8
3096,7094.528263138187,7094.521670462477,8121.14588947611,17907048.0,17907048.0,17907048.0
3097,7086.7259124369475,7086.721042094454,8187.707716953737,17907055.2,17907055.2,17907055.2
3098,7079.8634977145975,7079.860291012835,8240.366982251971,17907062.4,17907062.4,17907062.4
3099,7073.9720250737355,7073.970389217393,8285.096817721324,17907069.599999998,17907069.599999998,17907069.599999998
3100,7069.058006292917,7069.057817321408,8325.996411563607,17907076.8,17907076.8,17907076.8
3101,7065.103648906694,7065.104756369606,8365.009333974776,17907084.0,17907084.0,17907084.0
3102,7062.068178180621,7062.070411350063,8402.973133984819,17907091.2,17907091.2,17907091.2
3103,7059.890989730738,7059.894161484042,8440.281885215409,17907098.4,17907098.4,17907098.4
3104,7058.500507960018,7058.504426202696,8477.157677324576,17907105.599999998,17907105.599999998,17907105.599999998
3105,7057.810238896857,7057.814705762408,8513.750912214504,17907112.8,17907112.8,17907112.8
3106,7057.724897211405,7057.729728227007,8550.166808428652,17907120.0,17907120.0,17907120.0
3107,7058.117985806901,7058.122995420401,8593.789318734935,17907127.2,17907127.2,17907127.2
3108,7058.840734092281,7058.845761434205,8634.771722273372,17907134.4,17907134.4,17907134.4
3109,7059.809993482196,7059.814892577086,8673.19450918,17907141.599999998,17907141.599999998,17907141.599999998
3110,7060.941394669378,7060.946039538287,8711.593576891344,17907148.8,17907148.8,17907148.8
3111,7062.156592926945,7062.16087951121,8750.497906330711,17907156.0,17907156.0,17907156.0
3112,7063.385384986446,7063.389232237273,8789.84111256385,17907163.2,17907163.2,17907163.2
3113,7064.567166347845,7064.570515091274,8829.528251430916,17907170.4,17907170.4,17907170.4
3114,7065.651880986345,7065.654694793071,8869.553309278863,17907177.599999998,17907177.599999998,17907177.599999998
3115,7066.599238371061,7066.6014993767185,8909.915051991311,17907184.8,17907184.8,17907184.8
3116,7067.381008905561,7067.382716282255,8950.572078238303,17907192.0,17907192.0,17907192.0
3117,7067.981004093996,7067.9821719830115,8991.488600935116,17907199.2,17907199.2,17907199.2
3118,7068.393816756998,7068.3944700083175,9032.645044071369,17907206.4,17907206.4,17907206.4
3119,7068.615545920208,7068.615720285689,9074.028690941883,17907213.599999998,17907213.599999998,17907213.599999998
3120,7068.657769763444,7068.657507263435,9115.628059307432,17907220.8,17907220.8,17907220.8
3121,7068.529524900591,7068.5288729016265,9157.431765164836,17907228.0,17907228.0,17907228.0
3122,7068.2520832246955,7068.251092110803,9199.43079593301,17907235.2,17907235.2,17907235.2
3123,7067.843623343733,7067.842350315068,9243.47314942773,17907242.4,17907242.4,17907242.4
3124,7067.338875520848,7067.337373512182,9294.418266300812,17907249.599999998,17907249.599999998,17907249.599999998
3125,7066.767189841303,7066.765492689632,9340.00066634916,17907256.8,17907256.8,17907256.8
3126,7066.149084631242,7066.1472505127185,9383.82829959697,17907264.0,17907264.0,17907264.0
3127,7065.509350035346,7065.507393089872,9427.772280795236,17907271.2,17907271.2,17907271.2
3128,7064.867050261427,7064.865027539011,9472.076582870597,17907278.4,17907278.4,17907278.4
3129,7064.246187437535,7064.244142443405,9516.600544758518,17907285.599999998,17907285.599999998,17907285.599999998
3130,7063.671381862965,7063.669356365265,9561.292157729087,17907292.8,17907292.8,17907292.8
3131,7063.163308224344,7063.161353149873,9606.19294517628,17907300.0,17907300.0,17907300.0
3132,7062.746820535576,7062.744934233686,9651.263431983867,17907307.2,17907307.2,17907307.2
3133,7062.424012892787,7062.422220312354,9696.514733131855,17907314.4,17907314.4,17907314.4
3134,7062.210602716089,7062.208916296157,9741.92568044567,17907321.599999998,17907321.599999998,17907321.599999998
3135,7062.115052816948,7062.113486766683,9787.498933949897,17907328.8,17907328.8,17907328.8
3136,7062.143605450334,7062.142166588741,9833.231208598085,17907336.0,17907336.0,17907336.0
3137,7062.30115907553,7062.29985964204,9879.126381927053,17907343.2,17907343.2,17907343.2
3138,7062.590084375933,7062.588926738274,9925.192369508053,17907350.4,17907350.4,17907350.4
3139,7063.009293909165,7063.00824845822,9971.429253578306,17907357.599999998,17907357.599999998,17907357.599999998
3140,7063.5721644442465,7063.571252948175,10023.702352974396,17907364.8,17907364.8,17907364.8
3141,7064.262151423094,7064.261372801711,10077.97115359225,17907372.0,17907372.0,17907372.0
3142,7065.07620606381,7065.075554658841,10126.969792712749,17907379.2,17907379.2,17907379.2
3143,7066.008511559536,7066.007980510024,10175.130850830792,17907386.4,17907386.4,17907386.4
3144,7067.052938190985,7067.052517708464,10223.617999061016,17907393.599999998,17907393.599999998,17907393.599999998
3145,7068.201761021565,7068.2014403697285,10272.501145525584,17907400.8,17907400.8,17907400.8
3146,7069.446143367395,7069.445909064722,10321.722774901624,17907408.0,17907408.0,17907408.0
3147,7070.7754010267345,7070.775251593741,10371.24008099992,17907415.2,17907415.2,17907415.2
3148,7072.185180344756,7072.185098341471,10421.038098306431,17907422.4,17907422.4,17907422.4
3149,7073.663005725328,7073.66298659321,10471.118566710382,17907429.599999998,17907429.599999998,17907429.599999998
3150,7075.202637133535,7075.202667340568,10521.484617308426,17907436.8,17907436.8,17907436.8
3151,7076.793249076492,7076.793319610441,10572.14016390512,17907444.0,17907444.0,17907444.0
3152,7078.426746358831,7078.426848393069,10623.081712591538,17907451.2,17907451.2,17907451.2
3153,7080.094634652773,7080.0947581886685,10674.310708555313,17907458.4,17907458.4,17907458.4
3154,7081.788318326563,7081.788458382836,10725.82999152431,17907465.599999998,17907465.599999998,17907465.599999998
3155,7083.501332046627,7083.50147973927,10777.643090854386,17907472.8,17907472.8,17907472.8
3156,7085.225525764016,7085.225678981786,10829.754246610893,17907480.0,17907480.0,17907480.0
3157,7086.976916603828,7086.97707020265,10892.75044578898,17907487.2,17907487.2,17907487.2
3158,7088.784410078744,7088.784562271597,10951.328140440242,17907494.4,17907494.4,17907494.4
3159,7090.646053418509,7090.646201190619,11006.07201764029,17907501.599999998,17907501.599999998,17907501.599999998
3160,7092.554313922277,7092.55445735212,11060.733993448823,17907508.8,17907508.8,17907508.8
3161,7094.50219690044,7094.502333713708,11115.920474321643,17907516.0,17907516.0,17907516.0
3162,7096.485827784247,7096.4859592132125,11171.594871773132,17907523.2,17907523.2,17907523.2
3163,7098.501998788313,7098.502128328141,11227.684248031655,17907530.4,17907530.4,17907530.4
3164,7100.549915538178,7100.55003912473,11284.144707675596,17907537.599999998,17907537.599999998,17907537.599999998
3165,7102.628773257338,7102.628892763439,11340.957356261071,17907544.8,17907544.8,17907544.8
3166,7104.738545818024,7104.7386636083575,11398.116369001726,17907552.0,17907552.0,17907552.0
3167,7106.879062766825,7106.879178346254,11455.613882183598,17907559.2,17907559.2,17907559.2
3168,7109.049990912405,7109.050106592407,11513.44665799433,17907566.4,17907566.4,17907566.4
3169,7111.2511830699805,7111.251302491083,11571.604695947624,17907573.599999998,17907573.599999998,17907573.599999998
3170,7113.481995901596,7113.482117108912,11630.080941810505,17907580.8,17907580.8,17907580.8
3171,7115.740812404734,7115.740942274027,11688.8742725255,17907588.0,17907588.0,17907588.0
3172,7118.026771345001,7118.026896635089,11747.980517515247,17907595.2,17907595.2,17907595.2
3173,7120.337510824541,7120.337640113503,11810.128510416105,17907602.4,17907602.4,17907602.4
3174,7122.672944942769,7122.673079939109,11882.182730841618,17907609.599999998,17907609.599999998,17907609.599999998
3175,7125.026383707408,7125.026526642207,11946.30250959281,17907616.8,17907616.8,17907616.8
3176,7127.395988776963,7127.396149555531,12008.155083503187,17907624.0,17907624.0,17907624.0
3177,7129.777975444053,7129.778139717835,12070.316034828931,17907631.2,17907631.2,17907631.2
3178,7132.172580408805,7132.172779039131,12133.03004275712,17907638.4,17907638.4,17907638.4
3179,7134.574633326989,7134.574825578218,12196.201106913968,17907645.599999998,17907645.599999998,17907645.599999998
3180,7136.984924902272,7136.985161719501,12259.751180891904,17907652.8,17907652.8,17907652.8
3181,7139.397834744431,7139.398054778183,12323.638130534644,17907660.0,17907660.0,17907660.0
3182,7141.81464833284,7141.814917610932,12387.839495765553,17907667.2,17907667.2,17907667.2
3183,7144.229311185813,7144.229539371226,12452.347459501769,17907674.4,17907674.4,17907674.4
3184,7146.64249076029,7146.642740660715,12517.154208216934,17907681.599999998,17907681.599999998,17907681.599999998
3185,7149.053325269791,7149.053606925022,12582.248079434195,17907688.8,17907688.8,17907688.8
3186,7151.459671705821,7151.459944103974,12647.621124803196,17907696.0,17907696.0,17907696.0
3187,7153.859243512268,7153.859523365942,12713.26307375118,17907703.2,17907703.2,17907703.2
3188,7156.251363253139,7156.251644817426,12779.170969809873,17907710.4,17907710.4,17907710.4
3189,7158.634699830929,7158.634994058446,12845.344148745085,17907717.599999998,17907717.599999998,17907717.599999998
3190,7161.006909346934,7161.007198312677,12920.10424418616,17907724.8,17907724.8,17907724.8
3191,7163.368396837597,7163.368677832095,12997.365672554117,17907732.0,17907732.0,17907732.0
3192,7165.718923883712,7165.71919341658,13067.126767451113,17907739.2,17907739.2,17907739.2
3193,7168.057765074759,7168.05802378521,13135.851345035388,17907746.4,17907746.4,17907746.4
3194,7170.384832652389,7170.385078390683,13205.054255196254,17907753.599999998,17907753.599999998,17907753.599999998
3195,7172.700074554084,7172.700307106231,13274.758388518772,17907760.8,17907760.8,17907760.8
3196,7175.003659685032,7175.00387994917,13344.854430642357,17907768.0,17907768.0,17907768.0
3197,7177.2956073415035,7177.295810972202,13415.264593502396,17907775.2,17907775.2,17907775.2
3198,7179.576206398807,7179.576400087195,13485.94961360929,17907782.4,17907782.4,17907782.4
3199,7181.845773409699,7181.845947165349,13556.887336308764,17907789.599999998,17907789.599999998,17907789.599999998
3200,7184.104564777774,7184.104736127137,13628.074294293865,17907796.8,17907796.8,17907796.8
3201,7186.353629362488,7186.353785462453,13699.502706858299,17907804.0,17907804.0,17907804.0
3202,7188.59267011918,7188.592806283687,13771.1622504232,17907811.2,17907811.2,17907811.2
3203,7190.821823707565,7190.821934910326,13843.046929942037,17907818.4,17907818.4,17907818.4
3204,7193.041998161351,7193.0421120255105,13915.135125014831,17907825.599999998,17907825.599999998,17907825.599999998
3205,7195.254114477419,7195.254212441333,13987.450918325054,17907832.8,17907832.8,17907832.8
3206,7197.458077629011,7197.458157559273,14059.986891951541,17907840.0,17907840.0,17907840.0
3207,7199.652717446051,7199.652791943248,14147.20908195437,17907847.2,17907847.2,17907847.2
3208,7201.841510306517,7201.841577643524,14227.839262903766,17907854.4,17907854.4,17907854.4
3209,7204.0243582079465,7204.0244190316225,14303.090073288207,17907861.599999998,17907861.599999998,17907861.599999998
3210,7206.201734572886,7206.201786007666,14378.153046955267,17907868.8,17907868.8,17907868.8
3211,7208.374440885713,7208.374490137464,14453.75842813859,17907876.0,17907876.0,17907876.0
3212,7210.542589441028,7210.542623888057,14529.81314854021,17907883.2,17907883.2,17907883.2
3213,7212.706424933196,7212.706484401996,14606.201715276216,17907890.4,17907890.4,17907890.4
3214,7214.86840902697,7214.868462708227,14682.85447713649,17907897.599999998,17907897.599999998,17907897.599999998
3215,7217.024876058455,7217.024923811788,14759.726058827117,17907904.8,17907904.8,17907904.8
3216,7219.1778337935175,7219.177877185284,14836.850796940296,17907912.0,17907912.0,17907912.0
3217,7221.328525402672,7221.3285637791,14914.197999831866,17907919.2,17907919.2,17907919.2
3218,7223.477349452968,7223.477383115777,14991.750258341051,17907926.4,17907926.4,17907926.4
3219,7225.624739979121,7225.624773061483,15069.529785341441,17907933.599999998,17907933.599999998,17907933.599999998
3220,7227.771072456595,7227.7710962273595,15147.527620767372,17907940.8,17907940.8,17907940.8
3221,7229.916071328008,7229.916096313817,15225.744246097604,17907948.0,17907948.0,17907948.0
3222,7232.061004075051,7232.061019680415,15304.18091712867,17907955.2,17907955.2,17907955.2
3223,7234.205183433196,7234.205189176404,15386.482686514963,17907962.4,17907962.4,17907962.4
3224,7236.349015141703,7236.34901770438,15481.563776163784,17907969.599999998,17907969.599999998,17907969.599999998
3225,7238.493136250022,7238.493135736292,15565.732106027977,17907976.8,17907976.8,17907976.8
3226,7240.637867515241,7240.637864338826,15646.856872973922,17907984.0,17907984.0,17907984.0
3227,7242.78349655259,7242.7834892829105,15728.320647289656,17907991.2,17907991.2,17907991.2
3228,7244.930591150468,7244.930582780898,15810.371332762794,17907998.4,17907998.4,17907998.4
3229,7247.07902833383,7247.079013316723,15892.846241524137,17908005.599999998,17908005.599999998,17908005.599999998
3230,7249.228766938527,7249.228753704663,15975.631530591818,17908012.8,17908012.8,17908012.8
3231,7251.380768622599,7251.380748791588,16058.707954252415,17908020.0,17908020.0,17908020.0
3232,7253.53455219851,7253.53452308015,16142.010687199681,17908027.2,17908027.2,17908027.2
3233,7255.690405547498,7255.6903816349895,16225.46247097404,17908034.4,17908034.4,17908034.4
3234,7257.848965201939,7257.848933714848,16309.053835013674,17908041.599999998,17908041.599999998,17908041.599999998
3235,7260.009842464442,7260.009799924095,16392.85809590298,17908048.8,17908048.8,17908048.8
3236,7262.173523995073,7262.173491274933,16476.82365441329,17908056.0,17908056.0,17908056.0
3237,7264.340322986087,7264.340286786634,16560.91288422867,17908063.2,17908063.2,17908063.2
3238,7266.510100092322,7266.510058927848,16645.229110605364,17908070.4,17908070.4,17908070.4
3239,7268.682931542467,7268.682883966765,16729.75986583326,17908077.599999998,17908077.599999998,17908077.599999998
3240,7270.859415150307,7270.859365302887,16825.171844525143,17908084.8,17908084.8,17908084.8
3241,7273.039166612462,7273.039117256465,16923.284861717373,17908092.0,17908092.0,17908092.0
3242,7275.222276071693,7275.222227674661,17011.43673564904,17908099.2,17908099.2,17908099.2
3243,7277.409054889684,7277.409007712659,17097.957298214547,17908106.4,17908106.4,17908106.4
3244,7279.599622519802,7279.599576307515,17182.875277167142,17908113.599999998,17908113.599999998,17908113.599999998
3245,7281.794171684949,7281.79412725351,17264.763067953478,17908120.8,17908120.8,17908120.8
3246,7283.992618126073,7283.992574556198,17341.25541018925,17908128.0,17908128.0,17908128.0
3247,7286.19493726599,7286.194896013059,17414.336729865237,17908135.2,17908135.2,17908135.2
3248,7288.401355981582,7288.401316166871,17480.293002088856,17908142.4,17908142.4,17908142.4
3249,7290.611759476007,7290.611721003695,17530.95151314429,17908149.599999998,17908149.599999998,17908149.599999998
3250,7292.826154266467,7292.826118353324,17582.293816701796,17908156.8,17908156.8,17908156.8
3251,7295.0446362130515,7295.044602562742,17631.868096386464,17908164.0,17908164.0,17908164.0
3252,7297.267151735866,7297.267120463093,17679.131525510544,17908171.2,17908171.2,17908171.2
3253,7299.493685061097,7299.493655189925,17724.85186436217,17908178.4,17908178.4,17908178.4
