,up,down
17888400,0.0,0.0
17892000,1.5694542800437951e-43,-1.5694542800437951e-43
17895600,0.0,0.0
17899200,0.0,0.0
17902800,0.0,0.0
17906400,-6.086329010224212e-10,-2.747461980145971e-11
17910000,8.846683014749376,-1.19562199429879e-06
17913600,9.530734504822119,2.7116371370539127e-09
17917200,13.708556267863816,0.7412546857662807
17920800,14.990556728062256,3.2234560249711546
17924400,13.018199147984038,6.062758724193898
17928000,12.978637985783784,6.5548790727902
17931600,12.010430353151754,8.467771040694581
17935200,13.304148566934575,8.922375318131111
17938800,12.192427453167067,10.291860366886594
17942400,10.987215178681542,11.30056187381625
17946000,10.143286693896673,11.742866567225555
17949600,10.82186439173083,11.272461050333124
17953200,15.739652871885685,6.872137172305862
17956800,-6.219825817828373e-05,6.219825817828373e-05
17960400,-5.731142587564732e-19,5.731142587564732e-19
17964000,1.0787676604845164e-18,-1.0787676604845164e-18
17967600,0.0,0.0
17971200,1.3811000883265407e-17,-5.898916684507177e-16
