,dT_max_dict_mod.conVAVCor.TZo_dT_max,dT_max_dict_mod.conVAVCor.TZo_tim_dT_max,dT_max_dict_mod.conVAVEas.TZo_dT_max,dT_max_dict_mod.conVAVEas.TZo_tim_dT_max,dT_max_dict_mod.conVAVNor.TZo_dT_max,dT_max_dict_mod.conVAVNor.TZo_tim_dT_max,dT_max_dict_mod.conVAVSou.TZo_dT_max,dT_max_dict_mod.conVAVSou.TZo_tim_dT_max,dT_max_dict_mod.conVAVWes.TZo_dT_max,dT_max_dict_mod.conVAVWes.TZo_tim_dT_max,ener_tot,pow_peak,tdis_tot,timdis_tot
17888400,0.0,17884800.0,0.0,17884800.0,0.0,17884800.0,0.0,17884800.0,0.0,17884800.0,-2.2090868828420936e-28,-6.127313342245519e-160,0.0,0.0
17892000,0.0,17888400.0,0.0,17888400.0,0.0,17888400.0,0.0,17888400.0,0.0,17888400.0,-1.2514952405815382e-28,-4.350792346689317e-161,0.0,0.0
17895600,0.0,17892000.0,0.0,17892000.0,0.0,17892000.0,0.0,17892000.0,0.0,17892000.0,-6.789586034557228e-29,-5.7026094066020345e-195,0.0,0.0
17899200,0.0,17895600.0,0.0,17895600.0,0.0,17895600.0,0.0,17895600.0,0.0,17895600.0,-6.789556981870057e-29,-5.7026094066020345e-195,0.0,0.0
17902800,0.0,17899200.0,0.0,17899200.0,0.0,17899200.0,0.0,17899200.0,0.0,17899200.0,-7.569146461325533e-27,-4.828245440697077e-196,0.0,0.0
17906400,0.0,17902800.0,0.0,17902800.0,0.0,17902800.0,0.0,17902800.0,0.0,17902800.0,0.047714389185890244,1.6916457904825841,0.0,0.0
17910000,-0.0593476643632016,17909949.599999998,-0.3901223316692608,17907588.0,-0.11333357505588992,17909431.2,-0.0187076220871063,17909438.4,0.041664394577992425,17909935.2,12.75379551888275,14.333609536844223,0.011969364016819098,0.4166666666666667
17913600,-0.05683949777312591,17910396.0,-0.5791270052591813,17910000.0,-0.11790423030225838,17910144.0,-0.022894336947956617,17910144.0,0.04273542296556343,17910158.4,13.907644694313351,14.520724684875903,0.020688303333680266,0.75
17917200,-0.1059927874472919,17913600.0,-0.30631434020176584,17914536.0,-0.21162955202817102,17913600.0,-0.13696153273411937,17913600.0,-0.039318903975356534,17913600.0,14.436208330184538,15.478648931136426,0.0,0.0
17920800,-0.8814009663658453,17920454.4,-0.5496268215909481,17917243.2,-0.7331001128411572,17917214.4,-0.694868565521972,17917221.599999998,-0.7744610169601174,17919554.4,16.946472309156256,20.02977274161866,0.0,0.0
17924400,-0.8940125920327091,17921138.4,-0.7846491202677157,17920800.0,-0.9144073829483546,17924400.0,-0.7833566698886898,17924400.0,-0.9364292419681419,17924400.0,18.980881559719286,19.43058965287039,0.0,0.0
17928000,-0.9456958966213733,17924918.4,-0.9459212856619956,17927388.0,-0.9144073829483546,17924400.0,-0.7605677895477925,17928000.0,-0.9220804200411408,17928000.0,19.735258136369065,20.39114897366295,0.0,0.0
17931600,-0.8719423165678677,17928799.2,-0.9468126460246253,17928000.0,-0.815082383655465,17928856.8,-0.6619667619400502,17928914.4,-0.8013233796316968,17931600.0,21.772410493823237,22.579381741237388,0.0,0.0
17935200,-0.9290133618055734,17931600.0,-0.9047641364447827,17932332.48,-0.8507493838658888,17931600.0,-0.7046060846066098,17931600.0,-0.7703130738292998,17935200.0,23.677610308377727,27.605781689274387,0.0,0.0
17938800,-0.9668447996769487,17938800.0,-0.9501143260040408,17935336.8,-0.9212205412699745,17938800.0,-0.8600968689780757,17935214.4,-0.6973293834688548,17938800.0,25.528189911762812,26.542959133806608,0.0,0.0
17942400,-0.9569983845818228,17941384.8,-0.9818858661687386,17941737.599999998,-0.9033439760024748,17941262.4,-0.9357049327581421,17938800.0,-0.6857686798505824,17939786.4,27.528305933900093,28.364810763762293,0.0,0.0
17946000,-0.9595599018622352,17942400.0,-0.9625310940379563,17946000.0,-0.90906120313889,17942400.0,-0.9502400956524752,17946000.0,-0.704898724095699,17942400.0,28.67716592787521,28.888979079713287,0.0,0.0
17949600,-0.8367170659533372,17949600.0,-0.7718850479817547,17949600.0,-0.8177126268588495,17949600.0,-0.7207450997037199,17949600.0,-0.8061360797630073,17946000.0,28.059942805435522,28.888979079713287,0.0,0.0
17953200,-0.6317836761159015,17953200.0,-0.6376049576015816,17950060.8,-0.6527108877090768,17950096.8,-0.563742307065354,17950089.599999998,-0.6478926284933664,17952372.0,22.227605717844767,26.524339567448113,0.0,0.0
17956800,0.0,17953200.0,0.0,17953200.0,0.0,17953200.0,0.0,17953200.0,0.0,17953200.0,0.09272082748932496,8.489559207170466,0.0,0.0
17960400,0.0,17956800.0,0.0,17956800.0,0.0,17956800.0,0.0,17956800.0,0.0,17956800.0,-8.820822797495392e-11,-8.755555270473911e-11,0.0,0.0
17964000,0.0,17960400.0,0.0,17960400.0,0.0,17960400.0,0.0,17960400.0,0.0,17960400.0,-8.544912529806088e-11,-8.376336956196777e-11,0.0,0.0
17967600,0.0,17964000.0,0.0,17964000.0,0.0,17964000.0,0.0,17964000.0,0.0,17964000.0,-8.935441634669508e-11,-8.372240006141305e-11,0.0,0.0
17971200,0.0,17967600.0,0.0,17967600.0,0.0,17967600.0,0.0,17967600.0,0.0,17967600.0,-7.586488549126277e-11,-6.839234498118703e-11,0.0,0.0
