,up,down
17888400,0.0,0.0
17892000,1.5694542800437951e-43,-1.5694542800437951e-43
17895600,0.0,0.0
17899200,0.0,0.0
17902800,0.0,0.0
17906400,-1.4623323869329015e-15,2.4434745500486075e-16
17910000,8.225935973473167,-2.0014514588773125e-05
17913600,8.225522906644802,0.326795318075197
17917200,13.082046027264644,3.5507997511868874
17920800,15.713861415062848,4.762602202980169
17924400,13.185687253911302,7.45843531710447
17928000,13.43001876988648,7.406967253485032
17931600,2.160527237624999,4.712846449858553
17935200,0.18153411187555513,5.324786244945315
17938800,0.04296636135709164,2.474187528272136
17942400,0.0006072228273836799,10.05782159166785
17946000,0.09674930281924077,15.222882778095808
17949600,1.4107573016211887,18.46301439969568
17953200,13.682388419085537,10.835234458076927
17956800,-4.771849668877559e-11,4.771849668877559e-11
17960400,-3.840511696143624e-20,3.840511696143624e-20
17964000,-2.9211495591398038e-21,2.9211495591398038e-21
17967600,0.0,0.0
17971200,3.7337442633071367e-19,-2.4581592033784197e-17
