,tdis_tot,ener_tot,pow_peak,df_down,df_up
17888400,0.0,-7.473987527949183e-31,-6.925358560408587e-222,1.0,1.0
17892000,0.0,-2.2799299911205647e-31,-2.933292237000402e-226,1.0,1.0
17895600,0.0,-7.346567769287963e-31,-2.933292237000402e-226,1.0,1.0
17899200,0.0,-4.306604234581158e-31,-1.8435256282611147e-213,1.0,1.0
17902800,0.0,-3.5465677812194264e-31,-5.922083911977077e-239,1.0,1.0
17906400,0.0,0.0011928500654083143,0.04228170109417637,0.999999999663306,1.000000000336694
17910000,0.002939941941023665,0.3178719419016187,0.3583714030818196,1.0000000168390257,0.7778154014831363
17913600,0.005141097178380595,0.3477146377215495,0.36311855205164145,0.9999999997965171,0.7617835122728689
17917200,0.0,0.3607857963722475,0.3868183088313155,0.981588512529516,0.6574548557199796
17920800,0.0,0.4234610502071853,0.5008284431863738,0.9195746606553282,0.6251015384939941
17924400,0.0,0.4695719675192567,0.4890559344558328,0.877318169811139,0.6198067796088063
17928000,0.0,0.48742296267885116,0.5187564289916421,0.8656129817529199,0.620817121015833
17931600,0.0,0.5391399794437808,0.5694876862037256,0.8106826956434685,0.6367815265122881
17935200,0.0,0.5814566327744648,0.6198325953510103,0.782708308502442,0.6630183798534404
17938800,0.0,0.6356671990612665,0.6626994966366562,0.742999953761201,0.6941435866644208
17942400,0.0,0.6878295002882713,0.7091836179229556,0.7173170378593872,0.7251203306857801
17946000,0.0,0.7173469415000302,0.7229135953378638,0.706113194516987,0.7468260688871099
17949600,0.0,0.7027907179055287,0.7230605312492825,0.717496503537973,0.7306249732927453
17953200,0.0,0.5570838842494619,0.664922621170678,0.8275346202242279,0.6073620378903982
17956800,0.0,0.0023148946327745308,0.2127068339746791,1.0000000089758319,0.9999999910241683
17960400,0.0,-2.2051999711306675e-12,-2.1888501430021865e-12,1.0,1.0
17964000,0.0,-2.1362235234947413e-12,-2.0938090201987232e-12,1.0,1.0
17967600,0.0,-2.233922648198119e-12,-2.0930559843404904e-12,1.0,1.0
17971200,0.0,-1.896385029863519e-12,-1.7091387874086662e-12,1.0,1.0
