,case0,case1,case2,case3,case4,case5,case6,case7,case8,case9,case10,case11,case12,case13,case14,case15
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-1.5694542800437951e-43,-1.5694542800437951e-43,-1.5694542800437951e-43,-1.5694542800437951e-43,-1.5694542800437951e-43,-1.5694542800437951e-43,-1.5694542800437951e-43,-1.5694542800437951e-43,-1.5694542800437951e-43,-1.5694542800437951e-43,-1.5694542800437951e-43,-1.5694542800437951e-43,-1.5694542800437951e-43,-1.5694542800437951e-43,-1.5694542800437951e-43,-1.5694542800437951e-43
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2.4434745500486075e-16,-2.7474619801459713e-11,2.4434745500486075e-16,2.4434745500486075e-16,2.4434745500486075e-16,-2.7474619801459713e-11,-2.7474619801459713e-11,-2.7474619801459713e-11,2.4434745500486075e-16,2.4434745500486075e-16,2.4434745500486075e-16,-2.7474619801459713e-11,-2.7474619801459713e-11,-2.7474619801459713e-11,2.4434745500486075e-16,-2.7474619801459713e-11
6,-2.0014514588773125e-05,-1.19562199429879e-06,-2.0014514588773125e-05,-2.0014514588773125e-05,-2.0014514588773125e-05,-1.19562199429879e-06,-1.19562199429879e-06,-1.19562199429879e-06,-2.0014514588773125e-05,-2.0014514588773125e-05,-2.0014514588773125e-05,-1.19562199429879e-06,-1.19562199429879e-06,-1.19562199429879e-06,-2.0014514588773125e-05,-1.19562199429879e-06
7,0.326795318075197,2.7116371370539127e-09,0.326795318075197,0.326795318075197,0.326795318075197,2.7116371370539127e-09,2.7116371370539127e-09,2.7116371370539127e-09,0.326795318075197,0.326795318075197,0.326795318075197,2.7116371370539127e-09,2.7116371370539127e-09,2.7116371370539127e-09,0.326795318075197,2.7116371370539127e-09
8,3.5507997511868874,0.7412546857662807,3.5507997511868874,3.5507997511868874,3.5507997511868874,0.7412546857662807,0.7412546857662807,0.7412546857662807,3.5507997511868874,3.5507997511868874,3.5507997511868874,0.7412546857662807,0.7412546857662807,0.7412546857662807,3.5507997511868874,0.7412546857662807
9,4.762602202980169,3.2234560249711546,4.762602202980169,4.762602202980169,4.762602202980169,3.2234560249711546,3.2234560249711546,3.2234560249711546,4.762602202980169,4.762602202980169,4.762602202980169,3.2234560249711546,3.2234560249711546,3.2234560249711546,4.762602202980169,3.2234560249711546
