,case0,case1,case2,case3,case4,case5,case6,case7,case8,case9,case10,case11,case12,case13,case14,case15
5,-1.4623323869329017e-15,-6.086329010224213e-10,-1.4623323869329017e-15,-1.4623323869329017e-15,-1.4623323869329017e-15,-6.086329010224213e-10,-6.086329010224213e-10,-6.086329010224213e-10,-1.4623323869329017e-15,-1.4623323869329017e-15,-1.4623323869329017e-15,-6.086329010224213e-10,-6.086329010224213e-10,-6.086329010224213e-10,-1.4623323869329017e-15,-6.086329010224213e-10
6,8.225935973473167,8.846683014749377,8.225935973473167,8.225935973473167,8.225935973473167,8.846683014749377,8.846683014749377,8.846683014749377,8.225935973473167,8.225935973473167,8.225935973473167,8.846683014749377,8.846683014749377,8.846683014749377,8.225935973473167,8.846683014749377
7,8.225522906644803,9.530734504822119,8.225522906644803,8.225522906644803,8.225522906644803,9.530734504822119,9.530734504822119,9.530734504822119,8.225522906644803,8.225522906644803,8.225522906644803,9.530734504822119,9.530734504822119,9.530734504822119,8.225522906644803,9.530734504822119
8,13.082046027264646,13.708556267863814,13.082046027264646,13.082046027264646,13.082046027264646,13.708556267863814,13.708556267863814,13.708556267863814,13.082046027264646,13.082046027264646,13.082046027264646,13.708556267863814,13.708556267863814,13.708556267863814,13.082046027264646,13.708556267863814
9,15.713861415062848,14.990556728062256,15.713861415062848,15.713861415062848,15.713861415062848,14.990556728062256,14.990556728062256,14.990556728062256,15.713861415062848,15.713861415062848,15.713861415062848,14.990556728062256,14.990556728062256,14.990556728062256,15.713861415062848,14.990556728062256
10,16.07601149919011,15.198912490386608,16.07601149919011,13.185687253911302,16.07601149919011,15.198912490386608,13.018199147984037,15.198912490386608,13.185687253911302,16.07601149919011,13.185687253911302,13.018199147984037,15.198912490386608,13.018199147984037,13.185687253911302,13.018199147984037
11,15.994113069226895,15.163320662604475,15.708080373010175,13.62113623421314,15.994113069226895,14.878777722552982,12.978637985783784,15.163320662604475,13.430018769886479,15.708080373010175,13.62113623421314,12.76825271157617,14.878777722552982,12.978637985783784,13.430018769886479,12.76825271157617
12,14.476652081028107,14.524894126581009,3.064487249295801,11.887263324004904,14.476652081028107,5.215972084999287,12.010430353151754,14.524894126581009,2.160527237624999,3.064487249295801,11.887263324004904,4.410391825792157,5.215972084999287,12.010430353151754,2.160527237624999,4.410391825792157
13,14.18565199361282,13.47608251334626,0.16790251964082614,16.08718334821445,0.0,1.140113688643094,13.304148566934574,0.0,0.18153411187555515,0.0,0.0,0.8747529603859583,0.0,0.0,0.0,0.0
14,12.643583402087831,12.233103535345466,0.047372130497375764,13.875621543438267,1.014655026665423e-11,0.07410533978634247,12.192427453167069,-5.339018116501393e-11,0.042966361357091636,0.0,0.0,0.06481317535621756,0.0,4.61426452602609e-11,0.0,0.0
15,13.163781313892686,10.99764763605415,0.0004222764060131112,12.928963267969127,-2.0313706272645504e-10,0.018086784792302524,10.987215178681543,0.0,0.0006072228273836798,0.0,0.0,0.00997032809316778,0.0,1.5254926211127895e-08,0.0,0.0
16,12.104950738424131,10.141723397067599,0.10116199445937467,12.556158348845925,0.006182189008953286,0.3044214783382131,10.143286693896671,0.010465574160818392,0.09674930281924077,-3.9827123430313804e-06,0.006205229320713102,0.2783535993018802,-7.412985148391726e-06,0.010335852714987936,-5.885460282684107e-06,-5.539625803407944e-06
17,14.277349575769268,10.815316161561043,1.4550538372385873,13.669523562261169,2.182229243044077,2.134683969977786,10.82186439173083,1.6186713551834515,1.4107573016211887,0.18092071636816345,2.215047420810535,1.9467045324913528,0.29400163024620696,1.6166746061192825,0.18047266154840716,0.28324675843376923
18,18.86903847652273,15.733938982197134,13.757002773472195,18.577595629274864,17.648245650946862,11.201375626442303,15.739652871885687,12.824519800672322,13.682388419085536,9.73228806695009,17.74260377775228,10.942905496309205,7.386590735579366,12.807140299661267,9.716499541233745,7.275821058077617
19,5.290598896479094e-10,-1.5319232179081266e-05,1.1544092071158475e-11,1.5265802337516288e-10,1.3360189690669877e-11,-1.2747006909730185e-07,-6.219825817828373e-05,2.0294180988478242e-08,-4.77184966887756e-11,6.148531510319355e-11,-4.830674575628802e-11,-5.638498842414075e-07,6.697006974962227e-06,4.0190422198604914e-08,5.814255327196705e-12,2.4474591162754193e-06
20,1.959413079005212e-18,2.290519855579476e-19,4.293036359877243e-20,-1.0421363160244263e-18,0.0,2.054795740727796e-19,-5.731142587564732e-19,1.007247169030738e-18,-3.840511696143623e-20,0.0,0.0,-1.5947212444470404e-19,-5.448921616505681e-19,4.3055826218181405e-19,4.1172060667350545e-19,-1.6431616649011817e-18
21,-1.4142118232241873e-19,9.675190413030088e-20,-2.6003363473551204e-19,8.571642553968498e-19,-2.6855512920635053e-18,-2.891293508905468e-20,1.0787676604845164e-18,0.0,-2.9211495591398038e-21,2.242390997872932e-20,-1.5451391338018172e-19,-7.33598826421548e-20,0.0,3.671786238228413e-20,-1.896057338411124e-18,4.47554497324306e-19
22,0.0,-2.0776742640013053e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.750974888985543e-19,0.0,8.214963307811397e-21
23,6.306984112499581e-19,-3.034992875881828e-18,-1.2732849717906487e-18,5.42580670052274e-19,7.1152103983038375e-19,-1.2035415098618787e-18,1.3811000883265407e-17,3.248609826305901e-18,3.7337442633071367e-19,-8.153833626567964e-19,3.5600421507846824e-19,-1.077024615157987e-17,2.345585268957131e-18,-1.0062139170480828e-18,-3.2935027663808354e-18,0.0
