,dT_max_dict_mod.conVAVCor.TZo_dT_max,dT_max_dict_mod.conVAVCor.TZo_tim_dT_max,dT_max_dict_mod.conVAVEas.TZo_dT_max,dT_max_dict_mod.conVAVEas.TZo_tim_dT_max,dT_max_dict_mod.conVAVNor.TZo_dT_max,dT_max_dict_mod.conVAVNor.TZo_tim_dT_max,dT_max_dict_mod.conVAVSou.TZo_dT_max,dT_max_dict_mod.conVAVSou.TZo_tim_dT_max,dT_max_dict_mod.conVAVWes.TZo_dT_max,dT_max_dict_mod.conVAVWes.TZo_tim_dT_max,ener_tot,pow_peak,tdis_tot,timdis_tot
17888400,0.0,17884800.0,0.0,17884800.0,0.0,17884800.0,0.0,17884800.0,0.0,17884800.0,-2.2090868828420936e-28,-6.127313342245519e-160,0.0,0.0
17892000,0.0,17888400.0,0.0,17888400.0,0.0,17888400.0,0.0,17888400.0,0.0,17888400.0,-1.2514952405815382e-28,-4.350792346689317e-161,0.0,0.0
17895600,0.0,17892000.0,0.0,17892000.0,0.0,17892000.0,0.0,17892000.0,0.0,17892000.0,-6.789586034557228e-29,-5.7026094066020345e-195,0.0,0.0
17899200,0.0,17895600.0,0.0,17895600.0,0.0,17895600.0,0.0,17895600.0,0.0,17895600.0,-6.789556981870057e-29,-5.7026094066020345e-195,0.0,0.0
17902800,0.0,17899200.0,0.0,17899200.0,0.0,17899200.0,0.0,17899200.0,0.0,17899200.0,-7.569146461325533e-27,-4.828245440697077e-196,0.0,0.0
17906400,0.0,17902800.0,0.0,17902800.0,0.0,17902800.0,0.0,17902800.0,0.0,17902800.0,0.047714389185890244,1.6916457904825841,0.0,0.0
17910000,-0.0593476643632016,17909949.599999998,-0.3901223316692608,17907588.0,-0.11333357505588992,17909431.2,-0.0187076220871063,17909438.4,0.041664394577992425,17909935.2,12.75379551888275,14.333609536844223,0.011969364016819098,0.4166666666666667
17913600,-0.05683949777312591,17910396.0,-0.5791270052591813,17910000.0,-0.11790423030225838,17910144.0,-0.022894336947956617,17910144.0,0.04273542296556343,17910158.4,13.907644694313351,14.520724684875903,0.020688303333680266,0.75
17917200,-0.1059927874472919,17913600.0,-0.30631434020176584,17914536.0,-0.21162955202817102,17913600.0,-0.13696153273411937,17913600.0,-0.039318903975356534,17913600.0,14.436208330184538,15.478648931136426,0.0,0.0
17920800,-0.8814009663658453,17920454.4,-0.5496268215909481,17917243.2,-0.7331001128411572,17917214.4,-0.694868565521972,17917221.599999998,-0.7744610169601174,17919554.4,16.946472309156256,20.02977274161866,0.0,0.0
17924400,-0.8940125920327091,17921138.4,-0.7846491202677157,17920800.0,-0.9144073829483546,17924400.0,-0.7833566698886898,17924400.0,-0.9364292419681419,17924400.0,18.980881559719286,19.43058965287039,0.0,0.0
17928000,-0.9294041890736935,17928000.0,-0.7790022639927656,17928000.0,-0.8126906837494516,17928000.0,-0.6078808274868379,17928000.0,-0.8233635780526924,17928000.0,19.39680751410183,20.354297516472357,0.0,0.0
17931600,0.7695809921450518,17931600.0,1.5910508877673237,17931600.0,1.0653253014357347,17931600.0,1.6132946721086228,17931600.0,1.101520377960469,17931600.0,14.95826859238408,31.056168006686022,1.3545908260584467,1.8166666666666669
17935200,0.9082174856691267,17935200.0,1.6948421542662686,17935200.0,1.2292421820329196,17935200.0,1.8587975222311002,17935200.0,1.4566254119845325,17935200.0,20.821771133773677,38.993360793381754,1.9283929750468436,2.3
17938800,1.0869249145058575,17937129.599999998,1.8632382797549099,17937093.599999998,1.4124094477629114,17937129.599999998,2.0352053203253035,17937100.8,1.8185232568959577,17938800.0,20.825067277420167,39.33203080170512,2.8057555692125353,2.7333333333333334
17942400,1.068291886974805,17938807.2,1.805973145888231,17938800.0,1.4158005884411864,17938807.2,1.9672810993503163,17938800.0,1.8185232568959577,17938800.0,39.023154438216515,40.06538621892298,0.3209598018082103,0.4666666666666666
17946000,-0.3615106359353035,17942400.0,-0.42123955629489274,17945712.0,-0.5038876752655028,17945308.8,-0.6996083539789879,17942400.0,-0.7286001210363793,17942400.0,39.10454347684553,39.33049070582474,0.0,0.0
17949600,-0.5132170902732014,17949600.0,-0.25337452263892146,17949600.0,-0.3449733608781571,17949600.0,-0.2944591358773323,17949600.0,-0.5386426216908262,17949600.0,37.42616086214195,38.8238496254965,0.0,0.0
17953200,-0.3188593015231618,17950118.4,-0.08217793327781919,17950204.8,-0.1444712806291477,17950327.2,-0.053509809134368425,17950752.0,-0.13467772158219304,17951558.4,28.29262976667758,34.78656567933261,0.0,0.0
17956800,0.0,17953200.0,0.0,17953200.0,0.0,17953200.0,0.0,17953200.0,0.0,17953200.0,0.10007353231838202,9.231561561875697,0.0,0.0
17960400,0.0,17956800.0,0.0,17956800.0,0.0,17956800.0,0.0,17956800.0,0.0,17956800.0,-8.820770700863551e-11,-8.755452193578567e-11,0.0,0.0
17964000,0.0,17960400.0,0.0,17960400.0,0.0,17960400.0,0.0,17960400.0,0.0,17960400.0,-8.545126632851939e-11,-8.379476329925526e-11,0.0,0.0
17967600,0.0,17964000.0,0.0,17964000.0,0.0,17964000.0,0.0,17964000.0,0.0,17964000.0,-8.935066810387291e-11,-8.372880886963494e-11,0.0,0.0
17971200,0.0,17967600.0,0.0,17967600.0,0.0,17967600.0,0.0,17967600.0,0.0,17967600.0,-7.585120800957905e-11,-6.838143434120256e-11,0.0,0.0
