,dT_max_dict_mod.conVAVCor.TZo_dT_max,dT_max_dict_mod.conVAVCor.TZo_tim_dT_max,dT_max_dict_mod.conVAVEas.TZo_dT_max,dT_max_dict_mod.conVAVEas.TZo_tim_dT_max,dT_max_dict_mod.conVAVNor.TZo_dT_max,dT_max_dict_mod.conVAVNor.TZo_tim_dT_max,dT_max_dict_mod.conVAVSou.TZo_dT_max,dT_max_dict_mod.conVAVSou.TZo_tim_dT_max,dT_max_dict_mod.conVAVWes.TZo_dT_max,dT_max_dict_mod.conVAVWes.TZo_tim_dT_max,ener_tot,pow_peak,tdis_tot,timdis_tot
17888400,0.0,17884800.0,0.0,17884800.0,0.0,17884800.0,0.0,17884800.0,0.0,17884800.0,-2.2090868828420936e-28,-6.127313342245519e-160,0.0,0.0
17892000,0.0,17888400.0,0.0,17888400.0,0.0,17888400.0,0.0,17888400.0,0.0,17888400.0,-1.2514952405815382e-28,-4.350792346689317e-161,0.0,0.0
17895600,0.0,17892000.0,0.0,17892000.0,0.0,17892000.0,0.0,17892000.0,0.0,17892000.0,-6.789586034557228e-29,-5.7026094066020345e-195,0.0,0.0
17899200,0.0,17895600.0,0.0,17895600.0,0.0,17895600.0,0.0,17895600.0,0.0,17895600.0,-6.789556981870057e-29,-5.7026094066020345e-195,0.0,0.0
17902800,0.0,17899200.0,0.0,17899200.0,0.0,17899200.0,0.0,17899200.0,0.0,17899200.0,-7.569146461325533e-27,-4.828245440697077e-196,0.0,0.0
17906400,0.0,17902800.0,0.0,17902800.0,0.0,17902800.0,0.0,17902800.0,0.0,17902800.0,0.047714389185890244,1.6916457904825841,0.0,0.0
17910000,-0.0593476643632016,17909949.599999998,-0.3901223316692608,17907588.0,-0.11333357505588992,17909431.2,-0.0187076220871063,17909438.4,0.041664394577992425,17909935.2,12.75379551888275,14.333609536844223,0.011969364016819098,0.4166666666666667
17913600,-0.05683949777312591,17910396.0,-0.5791270052591813,17910000.0,-0.11790423030225838,17910144.0,-0.022894336947956617,17910144.0,0.04273542296556343,17910158.4,13.907644694313351,14.520724684875903,0.020688303333680266,0.75
17917200,-0.1059927874472919,17913600.0,-0.30631434020176584,17914536.0,-0.21162955202817102,17913600.0,-0.13696153273411937,17913600.0,-0.039318903975356534,17913600.0,14.436208330184538,15.478648931136426,0.0,0.0
17920800,-0.8814009663658453,17920454.4,-0.5496268215909481,17917243.2,-0.7331001128411572,17917214.4,-0.694868565521972,17917221.599999998,-0.7744610169601174,17919554.4,16.946472309156256,20.02977274161866,0.0,0.0
17924400,-0.8917274238361301,17921080.8,-0.7846491202677157,17920800.0,-0.9127984470558772,17924306.4,-0.7819789420213397,17924313.599999998,-0.9352018007527931,17924313.599999998,18.7857675049105,19.566065649309746,0.0,0.0
17928000,-0.9426314052649332,17928000.0,-0.8118255326980943,17928000.0,-0.8300089000825892,17928000.0,-0.6300437024778489,17928000.0,-0.8389461857263427,17928000.0,19.160367239959825,20.75254205620408,0.0,0.0
17931600,0.73778660954099,17931600.0,1.553653014101883,17931600.0,1.0321604826571615,17931600.0,1.5752572927652295,17931600.0,1.068646799432372,17931600.0,15.432337991146802,34.7808441353563,1.269770319959064,1.7666666666666666
17935200,0.8823032692089328,17935200.0,1.6854544530003182,17935200.0,1.2101533486070366,17935200.0,1.849127943166991,17935200.0,1.4318936649722787,17935200.0,21.674406410398596,39.1315868880559,1.9023493347024902,2.2666666666666666
17938800,1.0732009632408221,17937136.8,1.8579609227466563,17937093.599999998,1.4120366289345156,17937129.599999998,2.031436809889101,17937100.8,1.8116062438675726,17938800.0,20.903947961664873,39.25965048013234,2.798302788038345,2.7333333333333334
17942400,1.0585626315894388,17938809.36,1.80636003092593,17938800.0,1.4130783961418842,17938809.119999997,1.9681386196289168,17938802.639999997,1.8116062438675726,17938800.0,38.76944778072517,40.39836007806909,0.3889336896947679,0.55
17946000,-0.18032738625004185,17946000.0,-0.7870010975709647,17946000.0,-0.7585360501293508,17946000.0,-0.6475074575421331,17942400.0,-0.6946290245297746,17942587.2,39.37632167850619,39.417957595525344,0.0,0.0
17949600,-0.16644133186360932,17946446.4,-0.2776692438570194,17949600.0,-0.34972379547031096,17949600.0,-0.44852997664963823,17949600.0,-0.6953817196655336,17949600.0,39.08972347390711,39.34590093352043,0.0,0.0
17953200,-0.0332181889280605,17950255.2,0.02904574953709016,17950917.599999998,-0.025605556439018073,17951054.4,0.007666216926111247,17951796.0,-0.082143108607454,17952703.2,32.049732775926515,38.136004304637744,0.006484091212812135,0.55
17956800,0.0,17953200.0,0.0,17953200.0,0.0,17953200.0,0.0,17953200.0,0.0,17953200.0,0.10506995155780482,10.05155075895375,0.0,0.0
17960400,0.0,17956800.0,0.0,17956800.0,0.0,17956800.0,0.0,17956800.0,0.0,17956800.0,-8.820823842942724e-11,-8.755557851885754e-11,0.0,0.0
17964000,0.0,17960400.0,0.0,17960400.0,0.0,17960400.0,0.0,17960400.0,0.0,17960400.0,-8.544934550832666e-11,-8.378163076015151e-11,0.0,0.0
17967600,0.0,17964000.0,0.0,17964000.0,0.0,17964000.0,0.0,17964000.0,0.0,17964000.0,-8.934914849122263e-11,-8.372558774285881e-11,0.0,0.0
17971200,0.0,17967600.0,0.0,17967600.0,0.0,17967600.0,0.0,17967600.0,0.0,17967600.0,-7.585191954003407e-11,-6.838201159599585e-11,0.0,0.0
