,up,down
17888400,0.0,0.0
17892000,1.5694542800437951e-43,-1.5694542800437951e-43
17895600,0.0,0.0
17899200,0.0,0.0
17902800,0.0,0.0
17906400,-1.4623323869329015e-15,2.4434745500486075e-16
17910000,8.225935973473167,-2.0014514588773125e-05
17913600,8.225522906644802,0.326795318075197
17917200,13.082046027264644,3.5507997511868874
17920800,15.713861415062848,4.762602202980169
17924400,13.185687253911302,7.45843531710447
17928000,13.62113623421314,7.56168863259421
17931600,11.887263324004902,9.247092445061838
17935200,0.0,0.1439300132482373
17938800,0.0,0.0
17942400,0.0,0.0
17946000,0.0062052293207131015,14.231228401714692
17949600,2.215047420810535,18.471735193570918
17953200,17.74260377775228,8.231839492919088
17956800,-4.8306745756288016e-11,4.8306745756288016e-11
17960400,0.0,0.0
17964000,-1.5451391338018172e-19,-7.556250951701866e-20
17967600,0.0,0.0
17971200,3.560042150784683e-19,-2.9603085077654446e-17
