,dT_max_dict_mod.conVAVCor.TZo_dT_max,dT_max_dict_mod.conVAVCor.TZo_tim_dT_max,dT_max_dict_mod.conVAVEas.TZo_dT_max,dT_max_dict_mod.conVAVEas.TZo_tim_dT_max,dT_max_dict_mod.conVAVNor.TZo_dT_max,dT_max_dict_mod.conVAVNor.TZo_tim_dT_max,dT_max_dict_mod.conVAVSou.TZo_dT_max,dT_max_dict_mod.conVAVSou.TZo_tim_dT_max,dT_max_dict_mod.conVAVWes.TZo_dT_max,dT_max_dict_mod.conVAVWes.TZo_tim_dT_max,ener_tot,pow_peak,tdis_tot,timdis_tot
17888400,0.0,17884800.0,0.0,17884800.0,0.0,17884800.0,0.0,17884800.0,0.0,17884800.0,-2.2090868828420936e-28,-6.127313342245519e-160,0.0,0.0
17892000,0.0,17888400.0,0.0,17888400.0,0.0,17888400.0,0.0,17888400.0,0.0,17888400.0,-1.2514952405815382e-28,-4.350792346689317e-161,0.0,0.0
17895600,0.0,17892000.0,0.0,17892000.0,0.0,17892000.0,0.0,17892000.0,0.0,17892000.0,-6.789586034557228e-29,-5.7026094066020345e-195,0.0,0.0
17899200,0.0,17895600.0,0.0,17895600.0,0.0,17895600.0,0.0,17895600.0,0.0,17895600.0,-6.789556981870057e-29,-5.7026094066020345e-195,0.0,0.0
17902800,0.0,17899200.0,0.0,17899200.0,0.0,17899200.0,0.0,17899200.0,0.0,17899200.0,-7.569146461325533e-27,-4.828245440697077e-196,0.0,0.0
17906400,0.0,17902800.0,0.0,17902800.0,0.0,17902800.0,0.0,17902800.0,0.0,17902800.0,0.047714389185890244,1.6916457904825841,0.0,0.0
17910000,-0.0593476643632016,17909949.599999998,-0.3901223316692608,17907588.0,-0.11333357505588992,17909431.2,-0.0187076220871063,17909438.4,0.041664394577992425,17909935.2,12.75379551888275,14.333609536844223,0.011969364016819098,0.4166666666666667
17913600,-0.05683949777312591,17910396.0,-0.5791270052591813,17910000.0,-0.11790423030225838,17910144.0,-0.022894336947956617,17910144.0,0.04273542296556343,17910158.4,13.907644694313351,14.520724684875903,0.020688303333680266,0.75
17917200,-0.1059927874472919,17913600.0,-0.30631434020176584,17914536.0,-0.21162955202817102,17913600.0,-0.13696153273411937,17913600.0,-0.039318903975356534,17913600.0,14.436208330184538,15.478648931136426,0.0,0.0
17920800,-0.8814009663658453,17920454.4,-0.5496268215909481,17917243.2,-0.7331001128411572,17917214.4,-0.694868565521972,17917221.599999998,-0.7744610169601174,17919554.4,16.946472309156256,20.02977274161866,0.0,0.0
17924400,-0.8917274238361301,17921080.8,-0.7846491202677157,17920800.0,-0.9127984470558772,17924306.4,-0.7819789420213397,17924313.599999998,-0.9352018007527931,17924313.599999998,18.7857675049105,19.566065649309746,0.0,0.0
17928000,-0.9426314052649332,17928000.0,-0.8118255326980943,17928000.0,-0.8300089000825892,17928000.0,-0.6300437024778489,17928000.0,-0.8389461857263427,17928000.0,19.160367239959825,20.75254205620408,0.0,0.0
17931600,0.73778660954099,17931600.0,1.553653014101883,17931600.0,1.0321604826571615,17931600.0,1.5752572927652295,17931600.0,1.068646799432372,17931600.0,15.432337991146802,34.7808441353563,1.269770319959064,1.7666666666666666
17935200,0.8985797635131121,17935200.0,1.6816898957293915,17935200.0,1.2191999821666855,17935200.0,1.8455603368822722,17935200.0,1.4466670763895308,17935200.0,20.534292721755495,38.95435253644054,1.9000597237499086,2.25
17938800,1.0828963281036863,17937129.599999998,1.8574238969798103,17937093.599999998,1.4061487505105674,17937129.599999998,2.028961718598225,17937100.8,1.813275000511112,17938800.0,20.809921921101555,39.25686967666962,2.786125867204981,2.7333333333333334
17942400,1.0635025757725316,17938807.2,1.7991410863378974,17938800.0,1.4091315506314004,17938807.2,1.9603867160886352,17938800.0,1.813275000511112,17938800.0,39.0145168645931,40.06328299707801,0.31866146466545897,0.4666666666666666
17946000,-0.385745251898868,17942400.0,-0.4270777485996291,17945496.0,-0.5068684468654396,17945042.4,-0.7211480803412655,17942400.0,-0.7429305730624947,17942400.0,39.06956061053459,39.300620318984365,0.0,0.0
17949600,-0.5224766243678687,17949600.0,-0.25864010902489554,17949600.0,-0.348806643514763,17949600.0,-0.2868575968577147,17949600.0,-0.5194809969407288,17949600.0,37.23590403074838,38.764914329814204,0.0,0.0
17953200,-0.3322597681463435,17950118.4,-0.09580933159975302,17950176.0,-0.15620269332544012,17950312.8,-0.05825767588839881,17950723.2,-0.13858129226133542,17951493.599999998,28.016076009827554,34.382871263033685,0.0,0.0
17956800,0.0,17953200.0,0.0,17953200.0,0.0,17953200.0,0.0,17953200.0,0.0,17953200.0,0.09964824318338132,9.146003550221078,0.0,0.0
17960400,0.0,17956800.0,0.0,17956800.0,0.0,17956800.0,0.0,17956800.0,0.0,17956800.0,-8.820798749869447e-11,-8.755568955604347e-11,0.0,0.0
17964000,0.0,17960400.0,0.0,17960400.0,0.0,17960400.0,0.0,17960400.0,0.0,17960400.0,-8.545096226987916e-11,-8.37947310792259e-11,0.0,0.0
17967600,0.0,17964000.0,0.0,17964000.0,0.0,17964000.0,0.0,17964000.0,0.0,17964000.0,-8.935066939567618e-11,-8.372886210601008e-11,0.0,0.0
17971200,0.0,17967600.0,0.0,17967600.0,0.0,17967600.0,0.0,17967600.0,0.0,17967600.0,-7.585122652563559e-11,-6.838088613710389e-11,0.0,0.0
