,up,down
17888400,0.0,0.0
17892000,1.5694542800437951e-43,-1.5694542800437951e-43
17895600,0.0,0.0
17899200,0.0,0.0
17902800,0.0,0.0
17906400,-6.086329010224212e-10,-2.747461980145971e-11
17910000,8.846683014749376,-1.19562199429879e-06
17913600,9.530734504822119,2.7116371370539127e-09
17917200,13.708556267863816,0.7412546857662807
17920800,14.990556728062256,3.2234560249711546
17924400,15.198912490386608,4.907638828615669
17928000,14.878777722552982,5.278867760816908
17931600,5.2159720849992866,6.285487068434447
17935200,1.140113688643094,7.353694468943152
17938800,0.07410533978634248,3.356330041151409
17942400,0.018086784792302524,8.98427371596685
17946000,0.3044214783382131,12.480884461700203
17949600,2.134683969977786,14.06406604760183
17953200,11.201375626442303,9.322624289540705
17956800,-1.2747006909730185e-07,1.2747006909730185e-07
17960400,2.0547957407277961e-19,-2.320564347897109e-19
17964000,-2.891293508905468e-20,2.891293508905468e-20
17967600,0.0,0.0
17971200,-1.2035415098618787e-18,-1.6517722453927486e-15
