,up,down
1992.0,0.0,0.0
1993.0,0.0,0.0
1994.0,-7.559989635741312e-21,-6.763293386029571e-20
1995.0,1.3452383156575718e-20,-2.1661102974055285e-22
1996.0,1.7763310153950385e-14,-1.7763310153950385e-14
1997.0,2.7718642150612094e-14,-1.6662357333406268e-14
1998.0,1050.985857643908,-0.0001576617160010033
1999.0,360.9414811884172,3.38078551879543e-07
2000.0,1803.1253557318282,9.007191070742529
2001.0,2428.68210223007,70.18188345915046
2002.0,3460.995580877302,121.46469328841435
2003.0,3993.439553677383,174.99939320106853
2004.0,5198.6233535096735,202.08287908539245
2005.0,4496.854376160494,139.52356378758648
2006.0,4786.366986656582,168.69961187044524
2007.0,5214.4728836050035,240.80235979849613
2008.0,5843.638732205436,584.6166842204353
2009.0,6932.127280530565,770.0682921731401
2010.0,4186.384967964584,197.35021223059195
2011.0,-3.310608274183751e-10,3.310608274183751e-10
2012.0,0.0,0.0
2013.0,1.5475029874121607e-14,-1.5475029874121607e-14
2014.0,0.0,0.0
2015.0,0.0,-1.9457003491384465e-14
2016.0,0.0,4.977276771140596e-17
