,power_base,power_down,power_up,time_base,time_down,time_up
79,-7.440086720240195e-08,-7.440086720240195e-08,-7.440086720240195e-08,7171768.8,7171768.8,7171768.8
80,-7.439668322935286e-08,-7.439668322935286e-08,-7.439668322935286e-08,7171776.0,7171776.0,7171776.0
81,-7.439247940632389e-08,-7.439247940632389e-08,-7.439247940632389e-08,7171783.2,7171783.2,7171783.2
82,-7.438825581715951e-08,-7.438825581715951e-08,-7.438825581715951e-08,7171790.4,7171790.4,7171790.4
83,-7.438401259854726e-08,-7.438401259854726e-08,-7.438401259854726e-08,7171797.600000001,7171797.600000001,7171797.600000001
84,-7.437974927418671e-08,-7.437974927418671e-08,-7.437974927418671e-08,7171804.8,7171804.8,7171804.8
85,-7.437546786346085e-08,-7.437546786346085e-08,-7.437546786346085e-08,7171812.0,7171812.0,7171812.0
86,-7.437116669311465e-08,-7.437116669311465e-08,-7.437116669311465e-08,7171819.2,7171819.2,7171819.2
87,-7.436684638853627e-08,-7.436684638853627e-08,-7.436684638853627e-08,7171826.4,7171826.4,7171826.4
88,-7.436250720981811e-08,-7.436250720981811e-08,-7.436250720981811e-08,7171833.600000001,7171833.600000001,7171833.600000001
89,-7.43581491064446e-08,-7.43581491064446e-08,-7.43581491064446e-08,7171840.8,7171840.8,7171840.8
90,-7.435377248506935e-08,-7.435377248506935e-08,-7.435377248506935e-08,7171848.0,7171848.0,7171848.0
91,-7.434937733988521e-08,-7.434937733988521e-08,-7.434937733988521e-08,7171855.2,7171855.2,7171855.2
92,-7.434496354335789e-08,-7.434496354335789e-08,-7.434496354335789e-08,7171862.4,7171862.4,7171862.4
93,-7.434053135303766e-08,-7.434053135303766e-08,-7.434053135303766e-08,7171869.600000001,7171869.600000001,7171869.600000001
94,-7.433608139824943e-08,-7.433608139824943e-08,-7.433608139824943e-08,7171876.8,7171876.8,7171876.8
95,-7.433161325085082e-08,-7.433161325085082e-08,-7.433161325085082e-08,7171884.0,7171884.0,7171884.0
