,up,down
17888400,0.0,0.0
17892000,1.5694542800437951e-43,-1.5694542800437951e-43
17895600,0.0,0.0
17899200,0.0,0.0
17902800,0.0,0.0
17906400,-1.4623323869329015e-15,2.4434745500486075e-16
17910000,8.225935973473167,-2.0014514588773125e-05
17913600,8.225522906644802,0.326795318075197
17917200,13.082046027264644,3.5507997511868874
17920800,15.713861415062848,4.762602202980169
17924400,16.07601149919011,5.792166739010224
17928000,15.994113069226895,6.071753475204444
17931600,14.476652081028103,8.069249189557754
17935200,14.185651993612819,9.34175475263923
17938800,12.643583402087831,10.219107682722223
17942400,13.163781313892688,11.451246864312845
17946000,12.10495073842413,12.434576931238949
17949600,14.277349575769268,11.478577517497497
17953200,18.869038476522732,7.9861284352517785
17956800,5.290598896479093e-10,-5.290598896479093e-10
17960400,1.959413079005212e-18,-2.2679762112070796e-19
17964000,-1.4142118232241875e-19,1.4142118232241875e-19
17967600,0.0,0.0
17971200,6.306984112499581e-19,-4.3391829464542287e-17
