,dT_max_dict_mod.conVAVCor.TZo_dT_max,dT_max_dict_mod.conVAVCor.TZo_tim_dT_max,dT_max_dict_mod.conVAVEas.TZo_dT_max,dT_max_dict_mod.conVAVEas.TZo_tim_dT_max,dT_max_dict_mod.conVAVNor.TZo_dT_max,dT_max_dict_mod.conVAVNor.TZo_tim_dT_max,dT_max_dict_mod.conVAVSou.TZo_dT_max,dT_max_dict_mod.conVAVSou.TZo_tim_dT_max,dT_max_dict_mod.conVAVWes.TZo_dT_max,dT_max_dict_mod.conVAVWes.TZo_tim_dT_max,ener_tot,pow_peak,tdis_tot,timdis_tot
17888400,0.0,17884800.0,0.0,17884800.0,0.0,17884800.0,0.0,17884800.0,0.0,17884800.0,-2.2090868828420936e-28,-6.127313342245519e-160,0.0,0.0
17892000,0.0,17888400.0,0.0,17888400.0,0.0,17888400.0,0.0,17888400.0,0.0,17888400.0,-1.2514952405815382e-28,-4.350792346689317e-161,0.0,0.0
17895600,0.0,17892000.0,0.0,17892000.0,0.0,17892000.0,0.0,17892000.0,0.0,17892000.0,-6.789586034557228e-29,-5.7026094066020345e-195,0.0,0.0
17899200,0.0,17895600.0,0.0,17895600.0,0.0,17895600.0,0.0,17895600.0,0.0,17895600.0,-6.789556981870057e-29,-5.7026094066020345e-195,0.0,0.0
17902800,0.0,17899200.0,0.0,17899200.0,0.0,17899200.0,0.0,17899200.0,0.0,17899200.0,-7.569146461325533e-27,-4.828245440697077e-196,0.0,0.0
17906400,0.0,17902800.0,0.0,17902800.0,0.0,17902800.0,0.0,17902800.0,0.0,17902800.0,-4.426339505937816e-11,-1.4232608721894e-24,0.0,0.0
17910000,-0.5304377981922812,17908646.4,-0.8056374046016117,17907415.2,-0.5250220393609197,17908106.4,-0.4377580062432571,17907739.2,-0.439892408074968,17907962.4,7.137135419557032,7.845709607349452,0.0,0.0
17913600,-0.5462112339924943,17910000.0,-0.6789807551984381,17911756.8,-0.5566188779275194,17910000.0,-0.48953787645871216,17910000.0,-0.48130493496347526,17910000.0,8.327874773067608,8.951254706670754,0.0,0.0
17917200,-0.4292193063457148,17914845.599999998,0.1855660810811628,17915119.2,-0.3356528438380906,17914744.8,-0.37131839632303354,17914816.8,-0.4391583228739364,17914924.8,11.522379598712632,14.0048982052016,0.016322998040656365,0.11666666666666667
17920800,-0.9761112472997411,17917488.0,-0.4354506400408127,17917243.2,-0.9109952850992613,17920713.599999998,-0.8206604547186203,17920728.0,-0.9228201579580286,17920720.8,13.523560944739424,14.608142213598274,0.0,0.0
17924400,-0.9846701403710654,17920958.4,-0.6834869284447791,17920800.0,-0.9093660500060423,17921196.0,-0.781788521887961,17923953.599999998,-0.9189961139140905,17922506.4,14.801760287489653,15.802883161832812,0.0,0.0
17928000,-0.9615108410126254,17924904.0,-0.8529979957758655,17927748.0,-0.9194665019840045,17924400.0,-0.7833674888239557,17927546.4,-0.9261828257836555,17924400.0,15.516582727345064,16.77364329761784,0.0,0.0
17931600,-0.9015248305335035,17928446.4,-0.7851610775639415,17928842.4,-0.851952633193946,17928626.4,-0.7065034756027444,17928626.4,-0.8394805183962717,17931398.4,17.608320270038792,18.606107490036212,0.0,0.0
17935200,-0.9555488449274208,17931600.0,-0.8650259433551923,17931607.2,-0.8957599598781485,17931736.8,-0.7542936401479778,17931600.0,-0.7636645275410388,17935120.8,18.958912174562727,20.294485656228336,0.0,0.0
17938800,-0.9643393314391915,17935833.599999998,-0.9372344673374755,17935214.4,-0.9116184856906102,17935833.599999998,-0.6966718125596572,17935653.599999998,-0.6912494022582223,17938800.0,20.7628821435019,21.80537027496561,0.0,0.0
17942400,-0.9573443801791086,17941413.599999998,-0.980133407038295,17941521.599999998,-0.9006071361752674,17941500.0,-0.8483771149685708,17938800.0,-0.6804796800230974,17939865.599999998,22.960979015229825,23.926218487353864,0.0,0.0
17946000,-0.9644092996297786,17942400.0,-0.9546474660437525,17946000.0,-0.9094604015222671,17942400.0,-0.9316121106296009,17946000.0,-0.7017604736529393,17942400.0,24.492806583811706,24.949418848966495,0.0,0.0
17949600,-0.8455975160335925,17949600.0,-0.7769803425529176,17949600.0,-0.8219646780623293,17949600.0,-0.716452896445503,17949600.0,-0.8090789884713558,17946000.0,23.608715272204712,24.97308316165972,0.0,0.0
17953200,-0.6569851047972293,17950075.2,-0.6376874483987649,17950053.599999998,-0.65269203802535,17950089.599999998,-0.5537969402897147,17950082.4,-0.6794618741052432,17950701.599999998,17.1079052935428,22.04911853196847,0.0,0.0
17956800,0.0,17953200.0,0.0,17953200.0,0.0,17953200.0,0.0,17953200.0,0.0,17953200.0,0.004550278580994905,3.85964205548849,0.0,0.0
17960400,0.0,17956800.0,0.0,17956800.0,0.0,17956800.0,0.0,17956800.0,0.0,17956800.0,-8.820824610910233e-11,-8.755895603910192e-11,0.0,0.0
17964000,0.0,17960400.0,0.0,17960400.0,0.0,17960400.0,0.0,17960400.0,0.0,17960400.0,-8.544955507005918e-11,-8.375348045251147e-11,0.0,0.0
17967600,0.0,17964000.0,0.0,17964000.0,0.0,17964000.0,0.0,17964000.0,0.0,17964000.0,-8.935653647033167e-11,-8.372228884141971e-11,0.0,0.0
17971200,0.0,17967600.0,0.0,17967600.0,0.0,17967600.0,0.0,17967600.0,0.0,17967600.0,-7.585351330797364e-11,-6.838596527139199e-11,0.0,0.0
