,dT_max_dict_mod.conVAVCor.TZo_dT_max,dT_max_dict_mod.conVAVCor.TZo_tim_dT_max,dT_max_dict_mod.conVAVEas.TZo_dT_max,dT_max_dict_mod.conVAVEas.TZo_tim_dT_max,dT_max_dict_mod.conVAVNor.TZo_dT_max,dT_max_dict_mod.conVAVNor.TZo_tim_dT_max,dT_max_dict_mod.conVAVSou.TZo_dT_max,dT_max_dict_mod.conVAVSou.TZo_tim_dT_max,dT_max_dict_mod.conVAVWes.TZo_dT_max,dT_max_dict_mod.conVAVWes.TZo_tim_dT_max,ener_tot,pow_peak,tdis_tot,timdis_tot
17888400,0.0,17884800.0,0.0,17884800.0,0.0,17884800.0,0.0,17884800.0,0.0,17884800.0,-2.2090868828420936e-28,-6.127313342245519e-160,0.0,0.0
17892000,0.0,17888400.0,0.0,17888400.0,0.0,17888400.0,0.0,17888400.0,0.0,17888400.0,-1.2514952405815382e-28,-4.350792346689317e-161,0.0,0.0
17895600,0.0,17892000.0,0.0,17892000.0,0.0,17892000.0,0.0,17892000.0,0.0,17892000.0,-6.789586034557228e-29,-5.7026094066020345e-195,0.0,0.0
17899200,0.0,17895600.0,0.0,17895600.0,0.0,17895600.0,0.0,17895600.0,0.0,17895600.0,-6.789556981870057e-29,-5.7026094066020345e-195,0.0,0.0
17902800,0.0,17899200.0,0.0,17899200.0,0.0,17899200.0,0.0,17899200.0,0.0,17899200.0,-7.569146461325533e-27,-4.828245440697077e-196,0.0,0.0
17906400,0.0,17902800.0,0.0,17902800.0,0.0,17902800.0,0.0,17902800.0,0.0,17902800.0,0.047714389185890244,1.6916457904825841,0.0,0.0
17910000,-0.0593476643632016,17909949.599999998,-0.3901223316692608,17907588.0,-0.11333357505588992,17909431.2,-0.0187076220871063,17909438.4,0.041664394577992425,17909935.2,12.75379551888275,14.333609536844223,0.011969364016819098,0.4166666666666667
17913600,-0.05683949777312591,17910396.0,-0.5791270052591813,17910000.0,-0.11790423030225838,17910144.0,-0.022894336947956617,17910144.0,0.04273542296556343,17910158.4,13.907644694313351,14.520724684875903,0.020688303333680266,0.75
17917200,-0.1059927874472919,17913600.0,-0.30631434020176584,17914536.0,-0.21162955202817102,17913600.0,-0.13696153273411937,17913600.0,-0.039318903975356534,17913600.0,14.436208330184538,15.478648931136426,0.0,0.0
17920800,-0.8814009663658453,17920454.4,-0.5496268215909481,17917243.2,-0.7331001128411572,17917214.4,-0.694868565521972,17917221.599999998,-0.7744610169601174,17919554.4,16.946472309156256,20.02977274161866,0.0,0.0
17924400,-0.8917274238361301,17921080.8,-0.7846491202677157,17920800.0,-0.9127984470558772,17924306.4,-0.7819789420213397,17924313.599999998,-0.9352018007527931,17924313.599999998,18.7857675049105,19.566065649309746,0.0,0.0
17928000,-0.9448921072241774,17924911.2,-0.9064079449268547,17927755.2,-0.9152321547319389,17924400.0,-0.7804455602911275,17927553.599999998,-0.9369760232618773,17924400.0,19.50062571107197,20.75254205620408,0.0,0.0
17931600,-0.8949894769909292,17928741.599999998,-0.9122806564129178,17928000.0,-0.8455095809839008,17928432.0,-0.700815578574975,17928410.4,-0.836196059789529,17931513.599999998,21.56896822200975,22.78254817875723,0.0,0.0
17935200,0.16511242369989532,17935200.0,-0.26037122892790876,17933551.2,-0.23650459469001817,17934040.8,-0.5728794576966152,17933378.4,-0.2835329013569776,17934091.2,36.73713813081038,38.9682573557788,0.03194659275788398,0.35
17938800,0.16928366580413012,17935459.2,-0.5177011041152468,17935560.0,-0.3496319179320153,17935200.0,-0.9105341093846278,17935200.0,-0.4286864875871288,17935200.0,39.07622815605879,39.20460007455124,0.13631778920443163,1.0
17942400,0.08141538667388204,17938800.0,-0.5737946378848164,17938800.0,-0.462006883402978,17938800.0,-0.9438981195719975,17941794.48,-0.761783028139007,17938800.0,39.34108265809305,39.42073648269762,0.02301449875935191,0.5833333333333334
17946000,0.01765580919823151,17945294.4,-0.4489332955470786,17946000.0,-0.46630937224671243,17946000.0,-0.88000041903706,17946000.0,-0.9475730947398233,17945222.4,39.36584955808512,39.41799506728569,0.0034737964990928572,0.36666666666666664
17949600,-0.047953376211353316,17946000.0,-0.15479351790884266,17949600.0,-0.21665004383640962,17949600.0,-0.172432104062068,17949600.0,-0.392199902646837,17949600.0,37.77246067348803,39.23967370885045,0.0,0.0
17953200,-0.014373320958725344,17950003.2,-0.00116213040553248,17950118.4,-0.027256054016788767,17950284.0,0.06519981262522379,17950608.0,-0.0419340189655486,17951184.0,26.346586282348795,34.07079803863526,0.02144046353617317,0.45
17956800,0.0,17953200.0,0.0,17953200.0,0.0,17953200.0,0.0,17953200.0,0.0,17953200.0,0.0948049637035197,8.59911850133807,0.0,0.0
17960400,0.0,17956800.0,0.0,17956800.0,0.0,17956800.0,0.0,17956800.0,0.0,17956800.0,-8.820850499680043e-11,-8.755501678644162e-11,0.0,0.0
17964000,0.0,17960400.0,0.0,17960400.0,0.0,17960400.0,0.0,17960400.0,0.0,17960400.0,-8.545091530653976e-11,-8.379464852429782e-11,0.0,0.0
17967600,0.0,17964000.0,0.0,17964000.0,0.0,17964000.0,0.0,17964000.0,0.0,17964000.0,-8.935063341867702e-11,-8.372878774060885e-11,0.0,0.0
17971200,0.0,17967600.0,0.0,17967600.0,0.0,17967600.0,0.0,17967600.0,0.0,17967600.0,-7.5848575525034e-11,-6.839177425409137e-11,0.0,0.0
